geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US55,Wisconsin,2011-2015,29308.633,69.74263,18380.441,546.86493,25570.111,646.93567,25520.574,648.13831,14955.086,166.82686,14694.736,177.19333,30299.346,75.433258,31344.602,8935.4678,32079.887,76.382042,16358.916,532.72473,13814.44,446.73499,12711.366,288.78159,11848.023,380.98355,31302.379,75.534531
04000US55,Wisconsin,2012-2016,29876.047,70.736237,18997.988,488.63062,26426.359,552.50317,26452.314,556.15704,15520.461,158.28928,14991.702,167.20067,30902.34,76.487419,23637.1,4308.2842,32695.596,80.362663,16900.012,541.97095,14121.145,486.14786,13398.635,348.14362,12795.956,496.00797,31906.572,81.082436
04000US55,Wisconsin,2013-2017,30556.959,79.469948,19276.297,493.70486,27272.447,494.64966,27272.168,495.73004,15960.629,175.83238,15515.67,174.05176,31620.484,85.974411,27295.803,5818.1465,33455.656,87.553932,17516.33,588.20923,14937.698,476.06049,14220.559,339.32681,13610.947,482.9158,32652.455,89.79969
04000US56,Wyoming,2005-2009,30762.814,254.29184,20807.705,2811.9661,30271.258,7655.8027,31123.129,8007.0869,22342.258,2448.3879,19381.689,997.98193,31697.979,287.14456,12145.344,6172.7275,32364.566,258.38931,20165.828,2582.7039,20894.6,1602.7573,17219.641,974.13605,14095.559,1199.8785,31776.869,258.14474
04000US56,Wyoming,2006-2010,31318.049,232.85063,19318.002,2263.5095,31662.082,8582.4717,32379.59,9073.9854,21920.648,2342.999,19419.803,660.65808,32407.941,261.89038,19393.305,8765.9346,33086.641,247.87373,20194.918,2300.6265,21270.029,1630.2061,18168.945,1052.476,15602.47,1381.0785,32385.682,251.62228
04000US56,Wyoming,2007-2011,31549.221,285.55957,18472.082,1921.127,34487.625,9300.9883,34940.941,9753.0244,20311.74,2038.9012,19591.438,639.01062,32640.559,318.04382,25632.404,12881.813,33376.254,321.06699,20030.664,2899.9656,20949.092,1976.8491,18102.08,1144.7744,15823.742,1386.0439,32660.551,302.38269
04000US56,Wyoming,2008-2012,30809.699,237.1635,17027.334,1482.4741,30103.855,8676.3936,30245.547,9064.7549,19177.52,1926.97,19255.01,500.33551,31944.066,265.03818,27082.92,12170.351,32734.52,263.84821,19354.068,2275.6663,21631.359,1884.9484,18435.18,1067.1128,15931.421,1255.4042,31934.66,265.92227
04000US56,Wyoming,2009-2013,30410.848,220.97385,16292.479,949.8678,22262.438,2478.3257,22001.338,2532.1768,20092.959,1723.6958,19190.549,459.84525,31547.746,247.78429,28600.385,12173.26,32435.773,249.0901,18770.057,2066.123,21143.729,1858.772,17998.459,1021.7332,15518.34,1131.7336,31631.697,240.75514
04000US56,Wyoming,2010-2014,30421.902,221.22556,15342.331,1086.8239,23673.623,2855.1365,22277.404,2588.8992,24224.053,5593.9839,19675.502,660.80658,31539.314,253.7101,46286.48,28172.271,32484.137,237.02701,18900.461,1968.7267,22500.688,2253.4958,18368.316,1165.0988,15069.718,1164.4019,31589.314,236.89345
04000US56,Wyoming,2011-2015,30821.84,269.66293,16099.36,952.18036,24209.514,2758.0637,22521.332,2204.1611,24823.832,6459.2134,20085.432,858.42896,31963.096,311.98621,45437.5,28366.832,32922.285,284.7348,19395.678,2326.8057,21271.742,2259.3538,18439.043,1141.2638,16265.46,1110.8418,31958.963,283.54794
04000US56,Wyoming,2012-2016,30781.223,219.30811,16145.13,1128.4962,24039.021,3150.4702,23248.871,2897.2751,24152.6,4773.3594,19726.408,704.54645,31964.828,254.26884,34921.27,25445.854,32848.578,239.98891,19627.916,1908.5472,19935.279,2157.2412,18960.15,1440.3855,18306.986,1931.451,31869.721,241.93173
04000US56,Wyoming,2013-2017,31213.762,263.96536,17324.902,1255.3954,24011.414,2832.22,22836.691,2386.0825,29021.777,7268.6543,20212.225,766.86523,32398.104,303.87057,36763.402,23090.168,33285.906,301.06384,20089.213,2331.7654,22109.838,2388.0493,19668.182,1348.1536,18034.727,1616.072,32222.188,295.64633
