geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US15,Hawaii,2010-2014,30.471266,.20553339,22.289158,3.8575227,28.414759,.24417189,31.494097,.27351427,26.456827,1.4257745,19.769541,.70856863,31.2689,.22707765,12.852672,.51490033,42.312645,.42733949,26.353567,.31437549,20.955116,2.2071407,20.664068,.36900228,20.645935,.36705753,41.001514,.38008812
04000US15,Hawaii,2011-2015,30.841784,.19887991,20.555555,3.6050725,28.614803,.26374042,31.680002,.30212888,26.369864,1.3899614,20.698402,.72746825,31.620419,.22130601,13.255445,.47748694,42.990456,.39993063,26.628,.30170849,24.530344,2.3553295,21.362144,.42572105,21.16844,.42747399,41.565918,.37366444
04000US15,Hawaii,2012-2016,31.368784,.1935128,18.345655,3.0943098,29.120775,.23615715,32.404011,.26993519,27.080622,1.6453936,20.031462,.63381404,32.246681,.21419476,13.148989,.46816152,44.182308,.36236608,27.065241,.28579342,22.183689,2.0079575,21.778826,.33127317,21.75769,.33241242,42.491329,.33583295
04000US15,Hawaii,2013-2017,32.037346,.20611885,21.354868,3.5686114,29.739815,.24813721,33.015167,.27807435,27.282682,1.5595152,20.298454,.67731464,32.968025,.22884819,13.746922,.55725968,45.325539,.42126036,27.631748,.30800632,23.845823,2.1684277,22.390211,.37834406,22.312248,.38099557,43.374432,.3872664
04000US16,Idaho,2005-2009,23.749767,.18768044,9.98458,1.2316015,38.207184,1.6211182,40.984684,1.7510706,26.252863,3.1583235,8.0366611,.46028346,25.010723,.20591423,7.7319584,2.9352913,25.051311,.18762556,13.542602,2.2199235,8.2869377,.85788321,11.850395,.6787197,16.653439,1.1249701,24.155483,.17818588
04000US16,Idaho,2006-2010,24.289284,.18452756,9.7585602,.85821551,39.419979,1.6043117,42.472481,1.7584363,23.595226,3.3014319,7.8316545,.4477357,25.656876,.20314707,9.9673204,3.7947972,25.689299,.19009595,13.75348,2.1284423,7.3368325,.73325038,12.208242,.70728582,17.970173,1.2691499,24.686722,.18040536
04000US16,Idaho,2007-2011,24.557161,.1949451,8.9108019,1.0096494,39.64933,1.5004796,42.873516,1.6498437,21.773424,2.5933797,7.9112201,.41936502,25.996775,.2147785,10.66961,3.0381329,26.04282,.18948783,13.704689,2.1312799,6.746345,.66193116,12.690757,.71390843,19.207235,1.3242583,24.947517,.18274173
04000US16,Idaho,2008-2012,24.71283,.1921723,9.6820421,.93796521,40.508537,1.696274,43.245182,1.8291013,21.771299,2.9406176,7.7819428,.42234287,26.2299,.21262227,12.138728,4.3938169,26.269117,.18825299,13.657318,2.0543299,6.8065219,.92719144,12.553541,.75545955,18.916872,1.2138424,25.112925,.17887309
04000US16,Idaho,2009-2013,25.06559,.20395201,9.1255074,.94199193,40.082413,1.5434273,42.429508,1.6661294,23.650724,3.4896863,8.5651331,.43432927,26.585266,.22616524,11.570248,4.2727308,26.648697,.22723684,14.088805,2.2598026,7.6194882,1.0040357,12.567035,.84519547,18.651146,1.4363605,25.515213,.21519355
04000US16,Idaho,2010-2014,25.417753,.19696565,10.551639,1.0473027,40.998409,1.6385741,43.168346,1.7568238,23.225004,2.9472032,8.8890162,.46633115,26.982197,.21996544,12.417686,3.863591,27.040628,.18173006,14.440809,1.9633012,7.0772858,1.0905123,12.09922,.83108115,18.306288,1.2916486,25.865847,.17263862
